path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM/02_EPISTEMOLOGY/01_EVIDENCE_TIERS/README.md,markdown-document,evidence-tiers,front-door,L2 Sudra,L3 Vaisya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,FRONT_DOOR_ACTIVE,2026-06-04,Evidence-tier front door and subfolder inventory,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/01_EVIDENCE_TIERS/THE_HONESTY_PROTOCOL_STANDALONE.md,markdown-document,evidence-tiers,active-evidence-discipline,L2 Sudra,L3 Vaisya; L4 Ksatriya; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Standalone honesty protocol remains evidence-discipline material,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/02_WHEN_PATTERN_BECOMES_CANDIDATE_CLAIM.md,markdown-document,epistemology-root,active-gate-document,L2 Sudra,L3 Vaisya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,L2 to L3 gate for pattern-to-candidate-claim admission,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS,folder,memetics,classify-before-edit,L2 Sudra,L1 Candala; L3 Vaisya; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,Memetic pattern admission and anti-reification sublane,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/01_MEMES_HARDWARE_SOFTWARE_CONFLICT.md,markdown-document,memetics,active-doctrine-with-disclosure-risk,L2 Sudra,L1 Candala; L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Memetic conflict claims must separate evidence from analogy and avoid alarm inflation,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/02_MEMES_HARDWARE_SOFTWARE_EVOLUTION.md,markdown-document,memetics,active-doctrine-with-disclosure-risk,L2 Sudra,L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Memetic evolution claims require tier discipline and source separation,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/03_MEMES_MIND_HARDWARE_CULTURE_SOFTWARE.md,markdown-document,memetics,active-doctrine-with-disclosure-risk,L2 Sudra,L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Mind-hardware culture-software framing remains analogy unless separately evidenced,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/04_ANTI_MEMETIC_DEFENSE_ARCHITECTURES.md,markdown-document,memetics,active-doctrine-with-operational-risk,L2 Sudra,L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Applied defense architecture needs tier labels and lawful routing before action claims,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/05_ANCIENT_EGREGORE_ARCHITECTURES.md,markdown-document,memetics,active-doctrine-with-reification-risk,L2 Sudra,L3 Vaisya; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Egregore architecture claims require anti-reification and source-boundary review,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/06_APPLIED_MEMETIC_DEFENSE_STRATEGIES.md,markdown-document,memetics,active-doctrine-with-operational-risk,L2 Sudra,L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,DOCUMENT_COVERED,2026-06-04,Applied strategy claims route through evidence and lawful operational surfaces,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/AGENTS.md,markdown-document,memetics,route-card,L2 Sudra,L3 Vaisya; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,Local Agentz route card for memetics sublane,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/CLAUDE.md,markdown-document,memetics,compatibility-route-card,L2 Sudra,L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,CLAUDE_SHIM_ACTIVE,2026-06-04,Claude-style first-touch shim inherits AGENTS authority,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/03_MEMETICS/README.md,markdown-document,memetics,front-door,L2 Sudra,L3 Vaisya; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,FRONT_DOOR_ACTIVE,2026-06-04,Memetics front door and subfolder inventory,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/AGENTS.md,markdown-document,epistemology-root,route-card,L2 Sudra,L1 Candala; L3 Vaisya; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,ROUTE_CARD_ACTIVE,2026-06-04,Root Agentz route card for epistemology lane,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/AGENTS_VERIFICATION_RECEIPT_2026_06_04.md,markdown-document,epistemology-root,agentz-verification-receipt,L3 Vaisya,L2 Sudra; L5 Brahmana; L6 Sadhu; L7 Rsi,L1+L2+L3+L5+L6+L7,RECEIPT_COVERED,2026-06-04,Agentz verification receipt added after the initial Epistemology deployment pass.,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/CLAUDE.md,markdown-document,epistemology-root,compatibility-route-card,L2 Sudra,L3 Vaisya; L6 Sadhu,L1+L2+L3+L5+L6+L7,CLAUDE_SHIM_ACTIVE,2026-06-04,Claude-style first-touch shim inherits AGENTS authority,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
01_EMERGENTISM/02_EPISTEMOLOGY/README.md,markdown-document,epistemology-root,front-door,L2 Sudra,L3 Vaisya; L5 Brahmana; L6 Sadhu,L1+L2+L3+L5+L6+L7,FRONT_DOOR_ACTIVE,2026-06-04,Epistemology front door and file inventory,03_AGENTZ_DEPLOYMENT_02_EPISTEMOLOGY_2026_06_04.md
