folder,direct_files,descendant_files,authority_surface,canonical_owner,disposition,execution_wave,founder_gate,blocker,rollback,verification,review_state,classification_basis
00_META/FALSWEEP,6,6,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
00_META/ROSETTA_FORMAL,8,8,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
00_META/SKYZAI_FAMILY,5,5,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
00_META/TITAN_LEDGER,3,6,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
00_META/TITAN_LEDGER/_raw,3,3,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
00_META/worldview_consolidation_2026_06_12,2,2,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
01_TELEOLOGY,12,52,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
01_TELEOLOGY/01_F5_FORCE,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
01_TELEOLOGY/02_THE_DERIVATION,26,26,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
01_TELEOLOGY/90_ARCHIVE,9,9,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
02_EPISTEMOLOGY,11,29,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
02_EPISTEMOLOGY/01_EVIDENCE_TIERS,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
02_EPISTEMOLOGY/03_MEMETICS,13,13,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY,19,175,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/01_THE_DERIVATION,4,4,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/02_THE_PAPERS,29,132,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/02_THE_PAPERS/D5_LANDAUER_BARRIER_PROGRAM,8,8,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/02_THE_PAPERS/FINITY_PAPERS,15,29,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/02_THE_PAPERS/FINITY_PAPERS/_SOURCES,14,14,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/02_THE_PAPERS/PEER_REVIEW_PROGRAM,41,66,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/02_THE_PAPERS/PEER_REVIEW_PROGRAM/AXIOM_PAPERS,8,8,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/02_THE_PAPERS/PEER_REVIEW_PROGRAM/R2_HARNESS,17,17,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/03_PREREGISTRATIONS,7,12,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/03_PREREGISTRATIONS/physics_to_biology_harness,5,5,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
03_METHODOLOGY/90_ARCHIVE,8,8,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
04_AXIOLOGY,10,27,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
04_AXIOLOGY/01_THEURGY,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
04_AXIOLOGY/02_VALUE_THEORY,8,8,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
04_AXIOLOGY/90_ARCHIVE,4,4,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
05_COSMOLOGY,36,142,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
05_COSMOLOGY/00_WHOLE,13,13,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
05_COSMOLOGY/01_THE_TRANSCENDENTAL_TRINITY,48,48,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
05_COSMOLOGY/02_EMERGENTISM_CORE,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
05_COSMOLOGY/03_FORMAL_SYSTEM,40,40,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
06_ONTOLOGY,20,23,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
06_ONTOLOGY/ruminations,3,3,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
07_THEOLOGY,11,11,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT,17,373,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/00_META,19,41,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/00_META/00_MAGNUM_OPUS,9,9,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/00_META/02_ANALYSIS_DOCUMENTS,13,13,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/01_GOVERNANCE,19,44,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/01_GOVERNANCE/01_HARDENING,3,3,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/01_GOVERNANCE/02_REPORTS,9,17,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/01_GOVERNANCE/02_REPORTS/2026-04-17,8,8,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/01_GOVERNANCE/90_ARCHIVE,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/02_OPERATORS,17,52,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/02_OPERATORS/MF_ADVANCED,24,24,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/02_OPERATORS/SPHERE_DERIVATIONS,11,11,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE,4,142,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/04_VRS_SHEETS,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/COMPARATIVE,10,10,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/PARADOX_DISSOLUTIONS,31,31,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/ROSETTA_STONE,46,92,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/ROSETTA_STONE/D_SERIES_AGENTS,4,4,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/ROSETTA_STONE/D_SERIES_CONSTITUTIONAL,9,9,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/ROSETTA_STONE/D_SERIES_DOMAINS,16,16,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/03_EVIDENCE/ROSETTA_STONE/D_SERIES_ROWS,17,17,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/05_SYNTHESIS,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS,15,72,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/00_C_SUITE,7,7,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/01_CANDALA_FIREWALL,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/02_SUDRA_EXPLORER,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/03_VAISYA_AUDITOR,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/04_KSATRIYA_EXECUTOR,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/05_BRAHMANA_ARCHITECT,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/06_SADHU_COMPRESSOR,5,5,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/07_RSI_CONSTITUTION,6,6,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/MANAGED_AGENTS,7,14,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
08_FRAMEWORK_SUPPORT/08_AGENTS/MANAGED_AGENTS/agents,7,7,inherits nearest ancestor,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS,6,331,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/01_SCRIPTS,52,61,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/01_SCRIPTS/01_DAC_SCAFFOLD_MANIFESTS,9,9,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/02_COMPILERS,4,4,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS,17,53,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS,3,36,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS/00_happy,6,6,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS/01_byzantine,6,6,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS/02_withholding,6,6,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS/03_partition,6,6,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS/04_combined,3,3,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS/05_cluster,3,3,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/03_SIMULATIONS/00_SCENARIOS/06_cross,3,3,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/04_DATA_PIPELINES,10,10,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/05_DEPLOY,11,11,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/06_PACKAGES,3,26,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/06_PACKAGES/emergentism-core,4,23,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/06_PACKAGES/emergentism-core/src,2,19,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
09_TOOLS/06_PACKAGES/emergentism-core/src/emergentism_core,10,17,local front doors + recursive manifest,REVIEW,REVIEW,HOLD,OWNER_REVIEW,Folder row aggregates only; file manifest controls exact artifact disposition.,N/A,Local AGENTS/CLAUDE/README + exact child rows,REVIEW,current worktree union
