path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531054500_baseline,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531055000_g1_server_spine,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531062000_branch_constitution_state,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531063000_branch_mode,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531064000_aia_contradiction_records,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531065000_user_role_for_canon_review,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531070000_role_assignment_audit,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/prisma/migrations/20260531091600_branch_consistency_metadata,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/public,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/branches,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/branches/[id],folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/branches/[id]/consistency,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/branches/[id]/proposal,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/branches/[id]/review,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/branches/review-queue,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/branches/reviews,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/contradictions,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/contradictions/[id],folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/expand,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/me,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/stripe,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/stripe/checkout,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/stripe/webhook,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/users,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/users/[id],folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/users/[id]/role,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/api/users/role-audits,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/book,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/book/[id],folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/app/pricing,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/components,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/components/outliner,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/lib,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/lib/__tests__,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/lib/aia,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM_ORG/12_PUBLIC_SITE/book-pwa/src/lib/aia/__tests__,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,SOURCE_PRESERVED_COVERED,2026-06-04,Frozen app source for migration/tombstone/public-claim repair only; not a live product feature lane.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/burrisphere,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
01_EMERGENTISM/12_PUBLIC_SITE/canon,folder,public-site,source-preserved-frozen,L5 Brahmana,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L6 Sadhu; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,PUBLIC_SITE_COVERED,2026-06-04,Public narrative prototypes plus frozen book-pwa source pending AIA migration envelope completion.,03_AGENTZ_DEPLOYMENT_12_PUBLIC_SITE_2026_06_04.md
