path,kind,zone,mutability,lead_agentz,support_agentz,agentz_passes,status,last_checked,route,receipt
01_EMERGENTISM_ORG/91_COMPATIBILITY,folder,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_EMERGENTISM_PHI_RESOLUTION.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_EMPIRICAL_PROGRAM_BOARD.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_EXECUTION_GUARDRAILS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_FOREWORD.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_FROM_LAGRANGIAN_TO_DAC.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_GFS_WAVE1_RESULTS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_GLOSSARY.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_I_IS_THE_EQUATOR.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_KNOWN_UNKNOWNS_PROGRAM.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_OPAQUE_FROM_BELOW_LEGIBLE_FROM_ABOVE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_PRATYAKSA_AS_PRIMARY_DISCLOSURE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_RECONCILIATION_SCOPE_BOUNDARY_NOTE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_RECONCILIATION_THEOREM_PACKET.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_SATURATION_AND_RETURN.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_SCIENCE_STACK_STATUS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THEURGY_AND_F5_FORCE_MAP.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_BRAIN_IS_THE_BURRI_SPHERE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_COMPUTATIONAL_SPHERE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_FOUR_METAMORPHOSES.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_FRAMEWORK_ON_ITS_OWN_TELEOLOGY_SPECTRUM.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_GENERATIVE_LAGRANGIAN.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_GOOD_THE_EVIL_AND_THE_TRANSCENDENTALS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_HIDDEN_CENTER_OF_THE_FRAMEWORK.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_HONEST_POSITION.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_LAGRANGIAN_SPHERE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_LIFE_SCIENCE_REGISTER.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_ONTOLOGY_OF_BEING.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_PEDAGOGY_OF_BECOMING.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_REMAINING_QUESTIONS.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_RING_THAT_IS_THE_GROUND.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_TORUS_REVELATION.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_TRANSCENDENTAL_TRINITY/00_THE_GENESIS_SIMULATION.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_TRANSCENDENTAL_TRINITY/00_THE_POINT.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
01_EMERGENTISM_ORG/91_COMPATIBILITY/01_FOUNDATIONS/00_THE_TRANSCENDENTAL_TRINITY/01_THE_EMERGENCE.md,markdown-document,compatibility,archive-only-provenance,L6 Sadhu,L1 Candala; L2 Sudra; L3 Vaisya; L4 Ksatriya; L5 Brahmana; L7 Rsi,L1+L2+L3+L4+L5+L6+L7,ARCHIVE_ONLY_COVERED,2026-06-04,Historical compatibility evidence; not active doctrine.,03_AGENTZ_DEPLOYMENT_91_COMPATIBILITY_2026_06_04.md
